Sequential,-1,0.550924,0.547681,0.557783
Transpose,32,0.089046,0.088823,0.089608
Transpose,64,0.079521,0.079295,0.080101
Transpose,128,0.078780,0.078566,0.079158
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550865,0.547990,0.558876
Transpose,32,0.088842,0.088501,0.089324
Transpose,64,0.079299,0.078961,0.079516
Transpose,128,0.078726,0.078396,0.079205
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549809,0.546557,0.557481
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549970,0.546950,0.556551
Transpose,32,0.088019,0.087742,0.088514
Transpose,64,0.078434,0.077991,0.079134
Transpose,128,0.077512,0.077180,0.077928
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.554216,0.550366,0.560353
Sequential,-1,0.550971,0.548615,0.557555
Transpose,32,0.087941,0.087707,0.088431
Sequential,-1,0.548926,0.546238,0.556300
Transpose,64,0.078644,0.078130,0.079126
Sequential,-1,0.549095,0.547464,0.555453
Transpose,128,0.077332,0.077191,0.077591
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.553594,0.551018,0.560756
Naive,32,0.131785,0.131613,0.132194
Naive,64,0.131795,0.131575,0.132090
Naive,128,0.133572,0.133309,0.134166
Transpose,32,0.087548,0.087120,0.087945
Transpose,64,0.078120,0.077835,0.078552
Transpose,128,0.077434,0.077063,0.077789
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549334,0.546406,0.557444
Naive,32,0.133331,0.133198,0.133750
Naive,64,0.133277,0.133053,0.133753
Naive,128,0.133500,0.133383,0.133857
Transpose,32,0.087613,0.087121,0.088367
Transpose,64,0.078321,0.077967,0.078902
Transpose,128,0.077470,0.077240,0.077939
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549047,0.545088,0.555961
Naive,32,0.131813,0.131583,0.132358
Naive,64,0.133303,0.133167,0.133797
Naive,128,0.132014,0.131792,0.132438
Transpose,32,0.087586,0.087252,0.088289
Transpose,64,0.078241,0.077770,0.078564
Transpose,128,0.077542,0.077154,0.077790
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549220,0.545696,0.555088
Naive,128,0.133786,0.133555,0.134224
Transpose,128,0.077883,0.077542,0.078186
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550921,0.548265,0.558274
Naive,128,0.133554,0.133224,0.133956
Transpose,128,0.077725,0.077463,0.077979
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548811,0.544785,0.556898
Naive,128,0.133616,0.133437,0.134036
Transpose,128,0.077506,0.077279,0.078015
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550054,0.546882,0.557909
Naive,128,0.133571,0.133396,0.133899
Transpose,128,0.073158,0.072892,0.073401
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549287,0.547380,0.557600
Naive,128,0.133724,0.133507,0.134052
Transpose,128,0.073158,0.072801,0.073786
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.547136,0.543446,0.554612
Transpose,128,0.077391,0.077107,0.077767
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.547819,0.544276,0.554392
Sequential,-1,0.547799,0.544441,0.556265
Transpose,128,0.077296,0.077020,0.077633
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550724,0.548860,0.557070
Sequential,-1,0.550351,0.548209,0.556827
Transpose,128,0.077632,0.077307,0.078310
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.551103,0.545686,0.557643
Sequential,-1,0.548206,0.545110,0.555946
Transpose,128,0.078850,0.078405,0.079324
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549852,0.546740,0.556389
Sequential,-1,0.550692,0.547948,0.557875
Naive,128,0.132148,0.131856,0.132604
Sequential,-1,0.549206,0.545984,0.556578
Transpose,128,0.078617,0.078201,0.078943
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550335,0.547864,0.556980
Sequential,-1,0.551012,0.548078,0.558200
Naive,128,0.133605,0.133385,0.134271
Sequential,-1,0.550328,0.546778,0.556977
Transpose,128,0.078827,0.078351,0.079234
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548731,0.545582,0.556882
Sequential,-1,0.549199,0.545988,0.557042
Naive,128,0.132042,0.131848,0.132417
Sequential,-1,0.549459,0.547041,0.556789
Transpose,128,0.078741,0.078370,0.079317
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548464,0.546087,0.555779
Sequential,-1,0.549740,0.546644,0.557558
Naive,128,0.133466,0.133234,0.133992
Sequential,-1,0.548518,0.545272,0.555674
Transpose,128,0.077542,0.077281,0.078256
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550959,0.548098,0.557793
Naive,128,0.132203,0.132043,0.132681
Transpose,128,0.078616,0.078325,0.079221
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550402,0.547887,0.557404
Naive,32,0.133334,0.133120,0.133900
Naive,64,0.131940,0.131830,0.132287
Naive,128,0.132164,0.131987,0.132729
Naive,256,0.133712,0.133484,0.134092
Naive,512,0.132748,0.132466,0.133392
Naive,1024,0.134808,0.134537,0.135314
Transpose,32,0.089087,0.088692,0.089683
Transpose,64,0.079406,0.079058,0.079911
Transpose,128,0.078634,0.078284,0.079047
Transpose,256,0.078720,0.078530,0.079172
Transpose,512,0.079162,0.078605,0.079779
Transpose,1024,0.080457,0.080112,0.080804
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549189,0.545775,0.557402
Naive,32,0.131982,0.131792,0.132298
Naive,64,0.133446,0.133260,0.133750
Naive,128,0.132169,0.131888,0.132800
Naive,256,0.132329,0.132086,0.132729
Naive,512,0.132924,0.132522,0.133837
Naive,1024,0.136301,0.136112,0.136658
Transpose,32,0.088939,0.088551,0.089691
Transpose,64,0.079261,0.078954,0.079639
Transpose,128,0.078448,0.078186,0.078727
Transpose,256,0.078598,0.078289,0.079221
Transpose,512,0.079034,0.078523,0.079688
Transpose,1024,0.080707,0.080331,0.081218
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549427,0.546461,0.557535
Naive,32,0.132010,0.131834,0.132538
Naive,64,0.131901,0.131678,0.132450
Naive,128,0.132140,0.131881,0.132595
Naive,256,0.132295,0.132124,0.132780
Naive,512,0.134274,0.133980,0.134878
Naive,1024,0.134867,0.134693,0.135385
Transpose,32,0.088718,0.088387,0.089427
Transpose,64,0.079247,0.078961,0.079460
Transpose,128,0.078676,0.078302,0.079097
Transpose,256,0.078647,0.078306,0.079023
Transpose,512,0.079077,0.078846,0.079504
Transpose,1024,0.080447,0.079936,0.080922
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550453,0.546912,0.557884
Naive,32,0.131910,0.131704,0.132556
Naive,64,0.133448,0.133276,0.134081
Naive,128,0.133720,0.133480,0.134122
Naive,256,0.132480,0.132179,0.133158
Naive,512,0.132652,0.132309,0.133319
Naive,1024,0.134797,0.134563,0.135238
